model_name                                                     model_display_name
stock.quantity.history                                         Stock Quantity History
report.stock.quantity                                          Stock Quantity Report
report.stock.report_reception                                  Stock Reception Report
stock.forecasted_product_product                               Stock Replenishment Report
stock.forecasted_product_template                              Stock Replenishment Report
stock.report                                                   Stock Report
stock.request.count                                            Stock Request an Inventory Count
stock.rule                                                     Stock Rule
stock.rules.report                                             Stock Rules report
stock.track.confirmation                                       Stock Track Confirmation
stock.track.line                                               Stock Track Line
stock.valuation.layer                                          Stock Valuation Layer
stock.package.type                                             Stock package type
report.stock.report_stock_rule                                 Stock rule report
stock.replenishment.info                                       Stock supplier replenishment information
stock.replenishment.option                                     Stock warehouse replenishment option
stock.storage.category                                         Storage Category
stock.storage.category.capacity                                Storage Category Capacity
mail.link.preview                                              Store link preview data
hr.leave.stress.day                                            Stress Day
studio.approval.entry                                          Studio Approval Entry
studio.approval.request                                        Studio Approval Request
studio.approval.rule                                           Studio Approval Rule
studio.mixin                                                   Studio Mixin
sale.subscription.report                                       Subscription Analysis
sale.subscription.change.customer.wizard                       Subscription Change Customer Wizard
sale.order.close.reason                                        Subscription Close Reason
sale.subscription.close.reason.wizard                          Subscription Close Reason Wizard
product.supplierinfo                                           Supplier Pricelist
ir.config_parameter                                            System Parameter
documents.tag                                                  Tag
project.task.recurrence                                        Task Recurrence
project.task.type                                              Task Stage
report.industry_fsm.worksheet_custom                           Task Worksheet Custom Report
project.task.confirm.schedule.line.wizard                      Task confirm schedule line wizard
project.task.confirm.schedule.wizard                           Task confirm schedule wizard
project.task.stop.timers.wizard                                Task stop running timers confirmation wizard
project.task.stop.timers.wizard.line                           Task stop running timers confirmation wizard line
report.project.task.user                                       Tasks Analysis
account.tax                                                    Tax
account.tax.group                                              Tax Group
account.fiscal.position.tax                                    Tax Mapping of Fiscal Position
account.tax.repartition.line                                   Tax Repartition Line
account.tax.unit                                               Tax Unit
ir_actions_account_report_download                             Technical model for accounting report downloads
purchase.order.group                                           Technical model to group PO for call to tenders
template.reset.mixin                                           Template Reset Mixin
theme.ir.asset                                                 Theme Asset
theme.ir.attachment                                            Theme Attachments
theme.ir.ui.view                                               Theme UI View
theme.utils                                                    Theme Utils
helpdesk.ticket.report.analysis                                Ticket Analysis
helpdesk.sla.status                                            Ticket SLA Status
hr.leave.report.calendar                                       Time Off Calendar
hr.leave.report                                                Time Off Summary / Report
hr.leave.employee.type.report                                  Time Off Summary / Report
hr.leave.type                                                  Time Off Type
timer.mixin                                                    Timer Mixin
timer.timer                                                    Timer Module
project.timesheet.forecast.report.analysis                     Timesheet & Planning Statistics
timesheet.grid.mixin                                           Timesheet Grid mixin
timesheets.analysis.report                                     Timesheets Analysis Report
web_tour.tour                                                  Tours
stock.traceability.report                                      Traceability Report
event.track.visitor                                            Track / Visitor Link
fsm.stock.tracking                                             Track Stock
account.trial.balance.report.handler                           Trial Balance Custom Handler
ir.cron.trigger                                                Triggered actions
expense.sample.receipt                                         Try Sample Receipts
hr.resume.line.type                                            Type of a resume line
account.edi.xml.ubl_20                                         UBL 2.0
account.edi.xml.ubl_21                                         UBL 2.1
account.edi.xml.ubl_bis3                                       UBL BIS Billing 3.0.12
utm.campaign                                                   UTM Campaign
utm.medium                                                     UTM Medium
utm.mixin                                                      UTM Mixin
utm.source                                                     UTM Source
utm.source.mixin                                               UTM Source Mixin
utm.tag                                                        UTM Tag
website.base.unit                                              Unit of Measure for price per unit on eCommerce products.
_unknown                                                       Unknown
base.module.update                                             Update Module
snailmail.letter.missing.required.fields                       Update address of partner
crm.lead.pls.update                                            Update the probabilities
base.module.upgrade                                            Upgrade Module
res.users                                                      User
bus.presence                                                   User Presence
res.users.settings                                             User Settings
res.users.settings.volumes                                     User Settings Volumes
change.password.user                                           User, Change Password Wizard
change.password.own                                            User, change own password wizard
res.users.apikeys                                              Users API Keys
res.users.deletion                                             Users Deletion Request
res.users.log                                                  Users Log
validate.account.move                                          Validate Account Move
vendor.delay.report                                            Vendor Delay Report
ir.ui.view                                                     View
website.track                                                  Visited Pages
stock.warehouse                                                Warehouse
stock.warn.insufficient.qty                                    Warn Insufficient Quantity
stock.warn.insufficient.qty.scrap                              Warn Insufficient Scrap Quantity
stock.warn.insufficient.qty.unbuild                            Warn Insufficient Unbuild Quantity
web_editor.converter.test.sub                                  Web Editor Converter Subtest
web_editor.converter.test                                      Web Editor Converter Test
website                                                        Website
website.configurator.feature                                   Website Configurator Feature
website.event.menu                                             Website Event Menu
website.menu                                                   Website Menu
product.public.category                                        Website Product Category
website.published.mixin                                        Website Published Mixin
website.searchable.mixin                                       Website Searchable Mixin
website.snippet.filter                                         Website Snippet Filter
theme.website.menu                                             Website Theme Menu
theme.website.page                                             Website Theme Page
website.visitor                                                Website Visitor
website.rewrite                                                Website rewrite
account_followup.manual_reminder                               Wizard for sending manual reminders to clients
purchase.requisition.alternative.warning                       Wizard in case PO still has open alternative requests for quotation
mrp.consumption.warning                                        Wizard in case of consumption in warning/strict and more component has been used for a MO (related to the bom)
stock.valuation.layer.revaluation                              Wizard model to reavaluate a stock inventory for a product
mrp.production.split.multi                                     Wizard to Split Multiple Productions
mrp.production.split                                           Wizard to Split a Production
mrp.production.backorder                                       Wizard to mark as done or create back order
purchase.requisition.create.alternative                        Wizard to preset values for alternative PO
mrp.workcenter                                                 Work Center
mrp.workcenter.capacity                                        Work Center Capacity
mrp.routing.workcenter                                         Work Center Usage
resource.calendar.attendance                                   Work Detail
hr.work.location                                               Work Location
mrp.workorder                                                  Work Order
mrp.workcenter.productivity                                    Workcenter Productivity Log
mrp.workcenter.productivity.loss                               Workcenter Productivity Losses
worksheet.template                                             Worksheet Template
hr.plan                                                        plan
account.online.account                                         representation of an online bank account
mailing.mailing.schedule.date                                  schedule a mailing
ir.websocket                                                   websocket message handling
