model_name                                                     model_display_name
calendar.attendee                                              Calendar Attendee Information
calendar.filters                                               Calendar Filters
calendar.popover.delete.wizard                                 Calendar Popover Delete Wizard
calendar.provider.config                                       Calendar Provider Configuration Wizard
utm.stage                                                      Campaign Stage
hr.holidays.cancel.leave                                       Cancel Time Off Wizard
sale.mass.cancel.orders                                        Cancel multiple quotations
mail.shortcode                                                 Canned Response / Shortcode
account.cash.flow.report.handler                               Cash Flow Report Custom Handler
documents.facet                                                Category
hr.applicant.category                                          Category of applicant
account.change.lock.date                                       Change Lock Date
change.password.wizard                                         Change Password Wizard
stock.change.product.qty                                       Change Product Quantity
change.production.qty                                          Change Production Qty
lot.label.layout                                               Choose the sheet layout to print lot labels
product.label.layout                                           Choose the sheet layout to print the labels
picking.label.type                                             Choose whether to print product or lot/sn labels
ir.actions.client                                              Client Action
pos.close.session.wizard                                       Close Session Wizard
pos.bill                                                       Coins/Bills
spreadsheet.revision                                           Collaborative spreadsheet revision
project.collaborator                                           Collaborators in project shared
account.edi.common                                             Common functions for EDI documents: generate the data, the constraints, etc
bus.bus                                                        Communication Bus
base.document.layout                                           Company Document Layout
ir.property                                                    Company Property
res.config                                                     Config
res.config.installer                                           Config Installer
res.config.settings                                            Config Settings
ir.actions.todo                                                Configuration Wizards
rental.wizard                                                  Configure the rental of a product
confirm.stock.sms                                              Confirm Stock SMS
stock.inventory.conflict                                       Conflict in Inventory
hr.contract.salary.advantage.type                              Contract Advantage Type
hr.contract.salary.advantage.value                             Contract Advantage Value
hr.contract.type                                               Contract Type
hr.contract.employee.report                                    Contract and Employee Analysis Report
hr.contract.history                                            Contract history
helpdesk.ticket.convert.wizard                                 Convert Helpdesk Tickets to Tasks
crm.lead2opportunity.partner.mass                              Convert Lead to Opportunity (in mass)
crm.lead2opportunity.partner                                   Convert Lead to Opportunity (not in mass)
crm.lead.rental                                                Convert Lead to Rental Order
project.task.convert.wizard                                    Convert Project Tasks to Tickets
helpdesk.ticket.to.lead                                        Convert Ticket to Lead
documents.shared.spreadsheet                                   Copy of a shared spreadsheet
res.country                                                    Country
res.country.group                                              Country Group
res.country.state                                              Country state
website.cover_properties.mixin                                 Cover Properties Website Mixin
account.automatic.entry.wizard                                 Create Automatic Entries
project.create.invoice                                         Create Invoice from project
wizard.ir.model.menu.create                                    Create Menu Wizard
project.create.sale.order.line                                 Create SO Line from project
project.create.sale.order                                      Create SO from project
project.task.create.timesheet                                  Create Timesheet from task
helpdesk.create.fsm.task                                       Create a Field Service task
spreadsheet.document.to.dashboard                              Create a dashboard from a spreadsheet document
crm.quotation.partner                                          Create new or use existing Customer on new Quotation
res.currency                                                   Currency
res.currency.rate                                              Currency Rate
ir.ui.view.custom                                              Custom View
pos_self_order.custom_link                                     Custom links that the restaurant can configure to be displayed on the self order screen
decimal.precision                                              Decimal Precision
ir.default                                                     Default Values
x_project_task_worksheet_template_1                            Default Worksheet
account.deferred.expense.report.handler                        Deferred Expense Custom Handler
account.deferred.report.handler                                Deferred Expense Report Custom Handler
account.deferred.revenue.report.handler                        Deferred Revenue Custom Handler
choose.delivery.carrier                                        Delivery Carrier Selection Wizard
choose.delivery.package                                        Delivery Package Selection Wizard
delivery.price.rule                                            Delivery Price Rules
delivery.zip.prefix                                            Delivery Zip Prefix
ir.demo                                                        Demo
ir.demo_failure.wizard                                         Demo Failure wizard
ir.demo_failure                                                Demo failure
hr.departure.reason                                            Departure Reason
hr.departure.wizard                                            Departure Wizard
x_project_task_worksheet_template_2                            Device Installation and Maintenance
digest.digest                                                  Digest
digest.tip                                                     Digest Tips
mail.followers                                                 Document Followers
documents.request_wizard                                       Document Request
documents.workflow.action                                      Document Workflow Tag Action
documents.folder.deletion.wizard                               Documents Folder Deletion Wizard
documents.link_to_record_wizard                                Documents Link to Record
documents.folder                                               Documents Workspace
documents.mixin                                                Documents creation mixin
website.sale.extra.field                                       E-Commerce Extra Info Shown on product page
account.edi.xml.ubl_efff                                       E-FFF (BE)
account.ec.sales.report.handler                                EC Sales Report Custom Handler
account.edi.format                                             EDI format
registration.editor                                            Edit Attendee Details on Sales Confirmation
registration.editor.line                                       Edit Attendee Line on Sales Confirmation
account.edi.document                                           Electronic Document for an account.move
mail.alias                                                     Email Aliases
mail.alias.mixin                                               Email Aliases Mixin
mail.template.preview                                          Email Template Preview
mail.template                                                  Email Templates
mail.compose.message                                           Email composition wizard
mail.resend.message                                            Email resend wizard
hr.employee.category                                           Employee Category
hr.employee.delete.wizard                                      Employee Delete Wizard
report.hr_skills.report_employee_cv                            Employee Resume
hr.employee.skill.report                                       Employee Skills Report
base.enable.profiling.wizard                                   Enable profiling for some time
calendar.alarm                                                 Event Alarm
calendar.alarm_manager                                         Event Alarm Manager
event.mail                                                     Event Automated Mailing
event.event.configurator                                       Event Configurator
event.lead.rule                                                Event Lead Rules
calendar.event.type                                            Event Meeting Type
event.question                                                 Event Question
event.question.answer                                          Event Question Answer
calendar.recurrence                                            Event Recurrence Rule
event.registration.answer                                      Event Registration Answer
event.sale.report                                              Event Sales Report
event.stage                                                    Event Stage
event.tag                                                      Event Tag
